division,date,RaceData01_time,area,race_no,umaban,horse_name,y_pred_value,y_pred_rank,odds_2,race_id
center,2019-01-27,10:30発走,中京,2,1,アイタイ,69.32917776747692,1.0,1.9,201908020202
center,2019-01-27,10:30発走,中京,2,3,メイショウイフウ,68.20811476754682,2.0,4.2,201908020202
center,2019-01-27,10:30発走,中京,2,2,サンライズゼノン,52.34711988145045,3.0,13.7,201908020202
center,2019-01-27,10:30発走,中京,2,8,キタサンブラウン,49.71326024174135,4.0,3.7,201908020202
center,2019-01-27,10:30発走,中京,2,10,マイネルロッシュ,47.9125326849024,5.0,19.0,201908020202
center,2019-01-27,10:30発走,中京,2,11,イマジンラヴ,46.88500474900204,6.0,86.4,201908020202
center,2019-01-27,10:30発走,中京,2,5,プカナラ,46.641423236346064,7.0,130.2,201908020202
center,2019-01-27,10:30発走,中京,2,6,ハイオソラール,43.938828562525316,8.0,20.6,201908020202
center,2019-01-27,10:30発走,中京,2,9,メモリーブラック,43.73669224186953,9.0,54.1,201908020202
center,2019-01-27,10:30発走,中京,2,4,シンゼンストロング,40.92966793390953,10.0,70.9,201908020202
center,2019-01-27,10:30発走,中京,2,7,スズカジョーダン,40.35817793322914,11.0,109.5,201908020202
